 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC    APmag   S-brt             delta      deldot     S-O-T /r     S-T-O  Sky_motion  Sky_mot_PA  RelVel-ANG  Lun_Sky_Brt  sky_SNR
******************************************************************************************************************************************************************************
$$SOE
 2018-Aug-18 00:00     18 11 12.02 -22 39 39.0    0.280   6.223  9.41201049986865  22.6899902  127.8187 /T    4.5528   0.0763338   264.29665   69.055264         n.a.     n.a.
 2018-Aug-19 00:00     18 11 04.31 -22 39 49.7    0.285   6.224  9.42520212132291  22.9900533  126.8272 /T    4.6126   0.0726320   264.06355   70.203886         n.a.     n.a.
 2018-Aug-20 00:00     18 10 56.99 -22 40 00.3    0.289   6.226  9.43856482900535  23.2824752  125.8370 /T    4.6710   0.0689039   263.80214   71.342293         n.a.     n.a.
 2018-Aug-21 00:00     18 10 50.05 -22 40 10.7    0.294   6.227  9.45209425453318  23.5673846  124.8480 /T    4.7278   0.0651518   263.50785   72.470562         n.a.     n.a.
 2018-Aug-22 00:00     18 10 43.51 -22 40 21.1    0.299   6.228  9.46578609217677  23.8449254  123.8601 /T    4.7831   0.0613779   263.17508   73.588743         n.a.     n.a.
 2018-Aug-23 00:00     18 10 37.37 -22 40 31.4    0.303   6.230  9.47963610516481  24.1151482  122.8734 /T    4.8369   0.0575841   262.79617   74.696901         n.a.     n.a.
 2018-Aug-24 00:00     18 10 31.63 -22 40 41.6    0.308   6.231  9.49364014331576  24.3783148  121.8879 /T    4.8892   0.0537711   262.36202   75.795451         n.a.     n.a.
 2018-Aug-25 00:00     18 10 26.28 -22 40 51.7    0.312   6.232  9.50779409878235  24.6342677  120.9036 /T    4.9399   0.0499397   261.85845   76.884554         n.a.     n.a.
 2018-Aug-26 00:00     18 10 21.34 -22 41 01.7    0.317   6.233  9.52209382092543  24.8831334  119.9204 /T    4.9891   0.0460932   261.26867   77.963920         n.a.     n.a.
 2018-Aug-27 00:00     18 10 16.80 -22 41 11.6    0.321   6.235  9.53653524775341  25.1249787  118.9384 /T    5.0367   0.0422325   260.56857   79.033736         n.a.     n.a.
 2018-Aug-28 00:00     18 10 12.67 -22 41 21.4    0.326   6.236  9.55111434115985  25.3598331  117.9574 /T    5.0827   0.0383593   259.72386   80.094067         n.a.     n.a.
 2018-Aug-29 00:00     18 10 08.94 -22 41 31.1    0.330   6.237  9.56582702643100  25.5876127  116.9776 /T    5.1272   0.0344769   258.68447   81.144397         n.a.     n.a.
 2018-Aug-30 00:00     18 10 05.63 -22 41 40.6    0.335   6.238  9.58066922489889  25.8082703  115.9990 /T    5.1701   0.0305888   257.37428   82.184309         n.a.     n.a.
 2018-Aug-31 00:00     18 10 02.73 -22 41 50.1    0.339   6.239  9.59563673804042  26.0215767  115.0214 /T    5.2114   0.0267035   255.67349   83.211966         n.a.     n.a.
 2018-Sep-01 00:00     18 10 00.24 -22 41 59.5    0.344   6.240  9.61072535997466  26.2276289  114.0448 /T    5.2512   0.0228322   253.38418   84.225112         n.a.     n.a.
 2018-Sep-02 00:00     18 09 58.17 -22 42 08.8    0.348   6.241  9.62593083152699  26.4261942  113.0694 /T    5.2893   0.0189952   250.14870   85.219033         n.a.     n.a.
 2018-Sep-03 00:00     18 09 56.52 -22 42 18.0    0.352   6.242  9.64124877310117  26.6170579  112.0950 /T    5.3258   0.0152342   245.27253   86.183873         n.a.     n.a.
 2018-Sep-04 00:00     18 09 55.29 -22 42 27.1    0.357   6.243  9.65667470511148  26.8001618  111.1217 /T    5.3607   0.0116421   237.26975   87.097175         n.a.     n.a.
 2018-Sep-05 00:00     18 09 54.48 -22 42 36.1    0.361   6.243  9.67220411555635  26.9753341  110.1495 /T    5.3940   0.0084586   222.69381   87.900419         n.a.     n.a.
 2018-Sep-06 00:00     18 09 54.10 -22 42 45.0    0.366   6.244  9.68783237954962  27.1425136  109.1783 /T    5.4257   0.0063604   195.18340   88.428094         n.a.     n.a.
 2018-Sep-07 00:00     18 09 54.13 -22 42 53.7    0.370   6.245  9.70355485845510  27.3015085  108.2082 /T    5.4558   0.0065231   158.25936   88.394705         n.a.     n.a.
 2018-Sep-08 00:00     18 09 54.60 -22 43 02.4    0.374   6.246  9.71936672842367  27.4520425  107.2392 /T    5.4842   0.0088372   132.57584   87.834069         n.a.     n.a.
 2018-Sep-09 00:00     18 09 55.49 -22 43 11.0    0.378   6.246  9.73526306454437  27.5940002  106.2713 /T    5.5109   0.0121348   119.07810   87.037550         n.a.     n.a.
 2018-Sep-10 00:00     18 09 56.80 -22 43 19.5    0.383   6.247  9.75123892073039  27.7274031  105.3045 /T    5.5361   0.0158150   111.56952   86.153757         n.a.     n.a.
 2018-Sep-11 00:00     18 09 58.54 -22 43 27.8    0.387   6.248  9.76728930134859  27.8520561  104.3389 /T    5.5595   0.0196645   106.93792   85.234953         n.a.     n.a.
 2018-Sep-12 00:00     18 10 00.71 -22 43 36.1    0.391   6.248  9.78340919187547  27.9681170  103.3744 /T    5.5814   0.0235988   103.83099   84.301602         n.a.     n.a.
 2018-Sep-13 00:00     18 10 03.31 -22 43 44.2    0.395   6.249  9.79959360133792  28.0754800  102.4111 /T    5.6016   0.0275793   101.61434   83.362775         n.a.     n.a.
 2018-Sep-14 00:00     18 10 06.34 -22 43 52.2    0.399   6.249  9.81583755209162  28.1743412  101.4490 /T    5.6202   0.0315844   99.956495   82.423393         n.a.     n.a.
 2018-Sep-15 00:00     18 10 09.78 -22 44 00.1    0.403   6.250  9.83213617997894  28.2648390  100.4881 /T    5.6371   0.0356027   98.670553   81.485839         n.a.     n.a.
 2018-Sep-16 00:00     18 10 13.66 -22 44 07.9    0.407   6.250  9.84848467246423  28.3469788   99.5283 /T    5.6524   0.0396279   97.644631   80.551287         n.a.     n.a.
 2018-Sep-17 00:00     18 10 17.96 -22 44 15.5    0.411   6.251  9.86487816443034  28.4207243   98.5698 /T    5.6660   0.0436528   96.807835   79.621069         n.a.     n.a.
 2018-Sep-18 00:00     18 10 22.68 -22 44 23.0    0.415   6.251  9.88131187942324  28.4862466   97.6124 /T    5.6781   0.0476741   96.111738   78.695651         n.a.     n.a.
