*******************************************************************************
 Revised: April 22, 2021              Neptune                               899
 
 PHYSICAL DATA (update 2021-May-03):
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu May 18 21:45:40 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: nep102_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2023-May-18 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {West-longitude positive}
Target radii    : 24764.0, 24764.0, 24341.0 km    {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230517.p230810                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-17. PREDICTS-> 2023-AUG-09
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************************************************************************************
 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC    APmag   S-brt             delta      deldot     S-O-T /r     S-T-O  Sky_motion  Sky_mot_PA  RelVel-ANG  Lun_Sky_Brt  sky_SNR
******************************************************************************************************************************************************************************
$$SOE
 2023-Jan-01 00:00     23 34 31.70 -04 02 41.4    7.779   9.286  30.1921043821082  28.6634550   72.5906 /T    1.7982   0.0399612   64.843667   63.032349         n.a.     n.a.
 2023-Jan-02 00:00     23 34 35.24 -04 02 16.6    7.780   9.286  30.2086127258333  28.5021310   71.5880 /T    1.7881   0.0412913   64.917215   62.120472         n.a.     n.a.
 2023-Jan-03 00:00     23 34 38.89 -04 01 51.0    7.781   9.286  30.2250255796335  28.3328001   70.5860 /T    1.7775   0.0426107   64.986460   61.212051         n.a.     n.a.
 2023-Jan-04 00:00     23 34 42.67 -04 01 24.7    7.782   9.286  30.2413383485502  28.1555609   69.5846 /T    1.7664   0.0439193   65.051808   60.306929         n.a.     n.a.
 2023-Jan-05 00:00     23 34 46.56 -04 00 57.7    7.783   9.286  30.2575464891982  27.9704939   68.5837 /T    1.7547   0.0452171   65.113611   59.404940         n.a.     n.a.
 2023-Jan-06 00:00     23 34 50.56 -04 00 30.0    7.785   9.286  30.2736454998951  27.7776632   67.5834 /T    1.7425   0.0465040   65.172174   58.505917         n.a.     n.a.
 2023-Jan-07 00:00     23 34 54.68 -04 00 01.5    7.786   9.286  30.2896309117092  27.5771183   66.5836 /T    1.7298   0.0477800   65.227766   57.609690         n.a.     n.a.
 2023-Jan-08 00:00     23 34 58.91 -03 59 32.3    7.787   9.286  30.3054982803381  27.3688954   65.5844 /T    1.7166   0.0490448   65.280620   56.716091         n.a.     n.a.
 2023-Jan-09 00:00     23 35 03.26 -03 59 02.5    7.788   9.286  30.3212431789511  27.1530190   64.5857 /T    1.7029   0.0502985   65.330945   55.824954         n.a.     n.a.
 2023-Jan-10 00:00     23 35 07.71 -03 58 31.9    7.789   9.286  30.3368611921520  26.9295045   63.5875 /T    1.6887   0.0515409   65.378927   54.936118         n.a.     n.a.
 2023-Jan-11 00:00     23 35 12.27 -03 58 00.7    7.790   9.286  30.3523479110566  26.6983594   62.5899 /T    1.6740   0.0527718   65.424731   54.049428         n.a.     n.a.
 2023-Jan-12 00:00     23 35 16.95 -03 57 28.8    7.791   9.286  30.3676989292098  26.4595847   61.5927 /T    1.6588   0.0539909   65.468506   53.164732         n.a.     n.a.
 2023-Jan-13 00:00     23 35 21.73 -03 56 56.2    7.792   9.286  30.3829098387926  26.2131746   60.5961 /T    1.6432   0.0551982   65.510386   52.281882         n.a.     n.a.
 2023-Jan-14 00:00     23 35 26.61 -03 56 22.9    7.793   9.286  30.3979762264183  25.9591152   59.6000 /T    1.6270   0.0563933   65.550491   51.400729         n.a.     n.a.
 2023-Jan-15 00:00     23 35 31.61 -03 55 49.0    7.795   9.286  30.4128936678915  25.6973825   58.6044 /T    1.6104   0.0575760   65.588931   50.521127         n.a.     n.a.
 2023-Jan-16 00:00     23 35 36.70 -03 55 14.4    7.796   9.286  30.4276577217438  25.4279406   57.6093 /T    1.5933   0.0587460   65.625802   49.642932         n.a.     n.a.
 2023-Jan-17 00:00     23 35 41.90 -03 54 39.2    7.797   9.286  30.4422639395948  25.1508139   56.6148 /T    1.5757   0.0599032   65.661076   48.765910         n.a.     n.a.
 2023-Jan-18 00:00     23 35 47.21 -03 54 03.4    7.798   9.286  30.4567078567606  24.8658863   55.6207 /T    1.5576   0.0610468   65.694920   47.890045         n.a.     n.a.
